,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
117,Atos,3.7,Private,43,2900,19300,148,29
118,Wipro,3.8,Private,23,2900,10100,148,2
119,Manappuram,4.0,Public,74,2900,7300,76,2
120,SBI,3.7,Private,25,2900,13700,139,4
121,BNY,4.2,Private,19,2900,17700,145,636
122,Indiamart,3.7,Private,27,2900,12500,286,653
123,Fullerton,4.1,Private,16,2800,10700,77,7
124,Cummins,4.4,Private,61,2800,12200,141,14
125,Samsung,4.1,Public,85,2800,16700,270,24
126,IQVIA,4.1,Private,41,2800,18800,228,34
127,Bosch,4.2,Private,33,2800,18800,161,58
128,Amdocs,4.0,Private,41,2800,20700,282,2
129,UST,3.9,Private,22,2800,22400,206,83
130,Schneider,4.1,Private,24,2800,18600,152,286
131,Nagarro,4.5,Private,27,2800,14900,353,63
132,CBRE,4.2,Private,117,2800,11900,116,85
133,Capgemini,4.0,Private,23,2700,21100,249,2
134,ICICI,3.8,Public,22,2700,12900,119,18
135,GlobalLogic,3.9,Private,23,2700,16700,239,99
136,JBM,4.0,Public,40,2700,11000,149,2
137,Dell,4.2,Private,39,2700,21900,198,46
138,Viatris,4.2,Private,62,2700,10100,80,4
139,Ecom,4.1,Private,11,2700,8400,115,55
140,Virtusa,3.8,Private,27,2700,24800,236,116
141,Equitas,4.2,Private,16,2600,10600,87,14
142,State,3.8,Private,217,2600,10500,129,85
143,Bajaj,3.9,Public,78,2600,10500,150,1
144,Cholamandalam,4.2,Private,45,2600,9500,83,18
145,Godrej,3.9,Private,126,2600,15900,97,55
146,Nagarjuna,4.1,Public,25,2600,9600,160,7
147,Swiggy,4.0,Private,9,2600,17300,186,226
148,Royal,4.2,Private,122,2600,13100,79,3
149,Aditya,4.2,Private,8,2600,11400,86,21
150,Muthoot,4.0,Private,136,2600,7200,75,43
151,Tata,4.2,Public,37,2600,16700,138,288
152,KEC,4.1,Public,78,2500,10700,156,2
153,SBI,3.8,Private,22,2500,10100,109,5
154,Whitehat,3.6,Private,5,2500,8000,269,312
155,LG,4.0,Public,65,2500,10800,110,6
156,John,4.3,Private,22,2500,11600,121,2
157,L,4.0,Public,29,2500,10100,69,2
158,Ekart,4.1,Private,14,2500,7100,164,2
159,Optum,4.1,Private,46,2500,15600,211,51
160,UnitedHealth,4.2,Private,46,2500,18800,61,3
161,L,3.4,Public,11,2400,18200,188,2
162,Piramal,4.3,Private,3,2400,10500,108,4
163,Ford,4.5,Public,120,2400,13500,64,39
164,Hetero,3.8,Private,30,2400,9700,121,28
165,Thermax,4.2,Public,43,2400,12200,118,20
166,Dominos,4.1,Public,63,2400,4600,53,2
167,Intas,4.2,Private,23,2400,10700,111,33
168,Sodexo,4.1,Private,15,2400,10300,85,124
169,Motherson,3.8,Public,37,2400,10600,125,5
170,Varun,4.0,Public,28,2400,9000,104,49
171,Abbott,4.2,Public,32,2400,10200,81,145
172,Subros,4.0,Public,38,2300,7300,85,1
173,Macleods,3.8,Public,37,2300,10000,94,2
174,VE,4.0,Private,15,2300,10400,106,5
175,Wipro,3.8,Private,78,2300,2900,35,11
176,Automatic,4.2,Private,74,2300,13200,108,35
177,Randstad,4.0,Private,31,2300,12500,139,1000
178,Axis,3.9,Private,12,2300,8100,53,33
179,Wipro,4.0,Private,78,2300,17800,81,2
180,American,4.4,Private,173,2300,16900,187,59
181,Indian,4.6,Private,91,2200,5400,25,2
182,Hindustan,4.4,Private,26,2200,7300,61,51
183,Alkem,4.0,Public,50,2200,7700,96,17
184,Havells,4.1,Public,40,2200,11100,90,46
185,CARS,3.7,Private,8,2200,10300,184,133
186,Bharat,4.1,Private,69,2200,9700,129,2
